candidate_id,game_index,accepted,reason,ranked_pair_count,adjudication_attempts,state_slot_within_game,pair_score,parent_game_sha256
cicero_g022_p010_ENGLAND,22,False,no_strict_divergent_pair,3183.0,0.0,,,
cicero_g022_p003_ENGLAND,22,False,no_strict_divergent_pair,1021.0,0.0,,,
cicero_g022_p008_ENGLAND,22,True,accepted,,,0.0,260.0,ffe565bde71b2bb06bd3d4b713ad896cbdc6407f094be01e89d45fd73d5b54ab
cicero_g022_p005_ENGLAND,22,True,accepted,,,1.0,180.0,9d9b89876009fb925f6ae341ee07713bc5c18d98e34be5a920afa3e7082012b0
cicero_g023_p000_ITALY,23,False,no_strict_divergent_pair,219.0,0.0,,,
cicero_g023_p000_FRANCE,23,False,no_strict_divergent_pair,127.0,0.0,,,
cicero_g023_p000_GERMANY,23,False,no_strict_divergent_pair,236.0,0.0,,,
cicero_g023_p018_FRANCE,23,False,no_strict_divergent_pair,18642.0,0.0,,,
cicero_g023_p018_ITALY,23,False,no_strict_divergent_pair,2074.0,0.0,,,
cicero_g023_p004_ITALY,23,False,no_strict_divergent_pair,2374.0,0.0,,,
cicero_g023_p009_ITALY,23,True,accepted,,,0.0,160.0,98197d2f52dda11b949184934cf5e01b9d244a3a0d26f5e702657b55c78523d2
cicero_g023_p003_ITALY,23,False,no_strict_divergent_pair,762.0,0.0,,,
cicero_g023_p007_GERMANY,23,False,no_strict_divergent_pair,6088.0,0.0,,,
cicero_g023_p007_ITALY,23,True,accepted,,,1.0,140.0,4516ac328d70ed72cf609253d65c1ebea16aeeb46232da42b685e8129ba4bb19
cicero_g024_p018_FRANCE,24,False,reconstruction_failed,,,,,
cicero_g024_p013_FRANCE,24,False,reconstruction_failed,,,,,
cicero_g024_p019_FRANCE,24,False,reconstruction_failed,,,,,
cicero_g024_p013_AUSTRIA,24,False,reconstruction_failed,,,,,
cicero_g024_p018_ITALY,24,False,reconstruction_failed,,,,,
cicero_g024_p022_FRANCE,24,False,reconstruction_failed,,,,,
cicero_g024_p010_FRANCE,24,False,no_strict_divergent_pair,2272.0,0.0,,,
cicero_g024_p010_ITALY,24,False,no_strict_divergent_pair,1290.0,0.0,,,
cicero_g024_p022_ITALY,24,False,reconstruction_failed,,,,,
cicero_g024_p005_FRANCE,24,True,accepted,,,0.0,120.0,934e96f51bfa25443cdbb866e30c799aaef5568ed9feb6160400e97da8c23b59
cicero_g024_p008_FRANCE,24,False,no_strict_divergent_pair,1453.0,0.0,,,
cicero_g024_p027_FRANCE,24,False,reconstruction_failed,,,,,
cicero_g024_p027_ITALY,24,False,reconstruction_failed,,,,,
cicero_g024_p019_ITALY,24,False,reconstruction_failed,,,,,
cicero_g024_p000_FRANCE,24,False,no_strict_divergent_pair,118.0,0.0,,,
cicero_g024_p001_FRANCE,24,True,accepted,,,1.0,120.0,3bdb1ee77594e66937e440d2479918c874d90046dfeff2a7d6c5bba6ce7007bf
cicero_g025_p005_ENGLAND,25,False,no_strict_divergent_pair,11466.0,0.0,,,
cicero_g025_p005_TURKEY,25,False,no_strict_divergent_pair,511.0,0.0,,,
cicero_g025_p022_ENGLAND,25,False,no_strict_divergent_pair,7784.0,0.0,,,
cicero_g025_p022_TURKEY,25,False,no_strict_divergent_pair,1303.0,0.0,,,
cicero_g025_p034_ENGLAND,25,False,reconstruction_failed,,,,,
cicero_g025_p024_ENGLAND,25,False,no_strict_divergent_pair,8280.0,0.0,,,
cicero_g025_p000_ENGLAND,25,False,no_strict_divergent_pair,102.0,0.0,,,
cicero_g025_p001_ENGLAND,25,True,accepted,,,0.0,120.0,5c7a9293ad9324874202990603eb0d483fc3126e0c697871bcdc65c1fa6799b4
cicero_g025_p032_ENGLAND,25,False,reconstruction_failed,,,,,
cicero_g025_p005_ITALY,25,False,no_strict_divergent_pair,1721.0,0.0,,,
cicero_g025_p034_ITALY,25,False,reconstruction_failed,,,,,
cicero_g025_p024_TURKEY,25,False,no_strict_divergent_pair,3436.0,0.0,,,
cicero_g025_p001_ITALY,25,False,duplicate_parent_within_game,,,,,
cicero_g025_p032_AUSTRIA,25,False,reconstruction_failed,,,,,
cicero_g025_p000_TURKEY,25,False,no_strict_divergent_pair,104.0,0.0,,,
cicero_g025_p001_AUSTRIA,25,False,duplicate_parent_within_game,,,,,
cicero_g025_p022_ITALY,25,False,no_strict_divergent_pair,6370.0,0.0,,,
cicero_g025_p024_ITALY,25,False,no_strict_divergent_pair,4779.0,0.0,,,
cicero_g025_p032_ITALY,25,False,reconstruction_failed,,,,,
cicero_g025_p000_AUSTRIA,25,False,no_strict_divergent_pair,186.0,0.0,,,
cicero_g025_p000_ITALY,25,False,no_strict_divergent_pair,219.0,0.0,,,
cicero_g026_p000_GERMANY,26,False,no_strict_divergent_pair,236.0,0.0,,,
cicero_g026_p000_ENGLAND,26,False,no_strict_divergent_pair,118.0,0.0,,,
cicero_g026_p003_GERMANY,26,True,accepted,,,0.0,180.0,4324853ff3bc84e605c872afb7c9a84ab8739f6583796029c740d05dc63b0ca7
cicero_g026_p001_GERMANY,26,True,accepted,,,1.0,180.0,794d0891cc5d555a31172593f9b52cacc268ceeffb5bb5b87b38038df61c0397
cicero_g027_p003_AUSTRIA,27,True,accepted,,,0.0,280.0,197ecbfec37425b8bb7964d31c8a03f97dd1c619a2e5f8abb2596e1594f30fcd
cicero_g027_p005_AUSTRIA,27,False,no_strict_divergent_pair,1505.0,0.0,,,
cicero_g027_p003_RUSSIA,27,False,duplicate_parent_within_game,,,,,
cicero_g027_p005_RUSSIA,27,False,no_strict_divergent_pair,1229.0,0.0,,,
cicero_g027_p000_AUSTRIA,27,False,no_strict_divergent_pair,186.0,0.0,,,
cicero_g027_p014_AUSTRIA,27,False,no_strict_divergent_pair,2382.0,0.0,,,
cicero_g027_p001_AUSTRIA,27,True,accepted,,,1.0,160.0,011d54b7c270e64d9d80f9153442642d859a9645ed11968a2d34769713e2f42b
cicero_g028_p003_GERMANY,28,True,accepted,,,0.0,140.0,55150eaa7ddcbd6153b4bc67fd3a9595825dacd442b81604819358eaf33d7c4f
cicero_g028_p003_TURKEY,28,False,duplicate_parent_within_game,,,,,
cicero_g028_p005_GERMANY,28,False,no_strict_divergent_pair,1260.0,0.0,,,
cicero_g028_p005_TURKEY,28,False,no_strict_divergent_pair,10010.0,0.0,,,
cicero_g028_p001_GERMANY,28,True,accepted,,,1.0,140.0,df31ae9384f1cb439e085ba33a96d97e72316ec9003b9ca5e9c01066acf13eb0
cicero_g029_p018_RUSSIA,29,True,accepted,,,0.0,120.0,94b8e3897943700e2215b173c9de9ad418965d54fb383ab108746925ded417d7
cicero_g029_p019_RUSSIA,29,True,accepted,,,1.0,320.0,ff9beb0da45755010e4d96d25a04981b5edddde753636b2e214f3d3c67dc4fef
cicero_g030_p001_RUSSIA,30,True,accepted,,,0.0,320.0,0143eb6dae0273de2eb5fe99cd0b09e2650446ae204dd96dc4a9729832346027
cicero_g030_p005_RUSSIA,30,False,no_strict_divergent_pair,3992.0,0.0,,,
cicero_g030_p000_RUSSIA,30,True,accepted,,,1.0,140.0,a9ebf8f62b7271d1e32f7944faaacd3f1c6405ce10a01199148064a6944b0d03
cicero_g031_p012_FRANCE,31,True,accepted,,,0.0,140.0,dc49ff078a2fdae6dca5c3d24e73acc80b04ea2d0f6c80a22264741e7a34cf1c
cicero_g031_p012_RUSSIA,31,False,duplicate_parent_within_game,,,,,
cicero_g031_p000_FRANCE,31,False,no_strict_divergent_pair,128.0,0.0,,,
cicero_g031_p000_RUSSIA,31,True,accepted,,,1.0,120.0,31a05bd8603b314954c8c421efded1585c801a36c41c298d60f38dec5819826c
cicero_g032_p003_AUSTRIA,32,True,accepted,,,0.0,220.0,d5bac7a8291d2b444029279c15eebacaa7db6e9d689df9584c38596af7aeb4df
cicero_g032_p003_RUSSIA,32,False,duplicate_parent_within_game,,,,,
cicero_g032_p001_AUSTRIA,32,True,accepted,,,1.0,220.0,a7c100faca07ed66a7236e74c5ad3c9791d6bf1ba09bcd10e40ed8d46e799a74
cicero_g033_p009_AUSTRIA,33,True,accepted,,,0.0,220.0,f9bd837282ad276e348c4e838d42994045a9d5ddc6ec3b938f1b1a8470e8ef94
cicero_g033_p013_AUSTRIA,33,True,accepted,,,1.0,220.0,6c739ff265748f587acee98422823cb64a37b1b7cf4046b9d6230c3a00fdd0a2
cicero_g034_p004_ENGLAND,34,True,accepted,,,0.0,220.0,b95d9feab079779895c3163443961a591e32f792d1c41dffcfe05bd448c43168
cicero_g034_p004_GERMANY,34,False,duplicate_parent_within_game,,,,,
cicero_g034_p018_ENGLAND,34,False,reconstruction_failed,,,,,
cicero_g034_p018_GERMANY,34,False,reconstruction_failed,,,,,
cicero_g034_p025_ENGLAND,34,False,reconstruction_failed,,,,,
cicero_g034_p025_GERMANY,34,False,reconstruction_failed,,,,,
cicero_g034_p001_ENGLAND,34,True,accepted,,,1.0,220.0,4705a257b993709502c2c21a03cddbe061c14320a95e9d814798f5745f5466dc
cicero_g035_p003_ITALY,35,True,accepted,,,0.0,280.0,10908a31042e8f1bfe068d8b7aa65359c09b702840521cd56061fc6e3c30a37a
cicero_g035_p010_ITALY,35,False,no_strict_divergent_pair,5316.0,0.0,,,
cicero_g035_p010_RUSSIA,35,False,no_strict_divergent_pair,3567.0,0.0,,,
cicero_g035_p000_ITALY,35,False,no_strict_divergent_pair,219.0,0.0,,,
